"b.const","b.day","b.temp","b.precip","emerge","Wi","Ws","Wp","Wnum","gen"
"1",0.601740969344974,0.619932291796431,1.63025829358958,0.470222358359024,157,0.0396151718471813,0.989666286785014,0.0367883977069981,1,1
"2",1.6606433079578,0.331935158465058,3.05563879548572,0.770688241347671,285,0.0150836151596787,0.289592779366377,0.0107719695192519,0,1
"3",2.79045975208282,0.527091420488432,1.14091056515463,0.298474571900442,182,0.0373100100236638,0.923882335790189,0.0343437066583771,2,1
"4",0.87394908699207,0.0229528939817101,0.742327263578773,0.373516284395009,365,0.0129488609257892,0.228671864194404,0.00850800066754159,0,1
"5",0.869867649162188,0.933260668069124,1.81570944259875,0.318768884986639,104,0.0365901009446364,0.903337806945269,0.0335802221761321,3,1
"6",0.598939537536353,0.256712181726471,1.58225245890208,0.144256305182353,365,0.0129488609257892,0.228671864194404,0.00850800066754159,1,1
"7",0.460227046860382,0.149451460922137,0.429856049595401,0.312112007755786,365,0.0129488609257892,0.228671864194404,0.00850800066754159,1,1
"8",0.593330334406346,0.503953128354624,3.49265750381164,0.176817158935592,190,0.0361215043587439,0.889965151486461,0.0330832618901953,1,1
"9",0.27905787108466,0.593629022361711,4.9794440867845,0.601534730521962,159,0.039516339087947,0.986845829963361,0.036683582696032,0,1
"10",2.21246542059816,0.919264312135056,3.29264340456575,0.42543949955143,103,0.0364368710034151,0.898964981210691,0.0334177173741426,0,1
"11",2.19486310542561,0.806932096136734,0.494469511322677,0.975557793397456,120,0.0386031366241505,0.960785157990635,0.0357151049665964,5,1
"12",1.0933283243794,0.952033704612404,0.461868272395805,0.0798784710932523,104,0.0365901009446364,0.903337806945269,0.0335802221761321,1,1
"13",1.31274443794973,0.468716969480738,4.84365030424669,0.892931726761162,199,0.0345644171206221,0.845529507306406,0.0314319256611623,1,1
"14",0.808714883169159,0.290560855530202,2.78170556528494,0.121755452360958,332,0.00701563063858105,0.0593512870129172,0.00221563766527236,0,1
"15",1.25541942031123,0.651508141076192,3.7540414207615,0.948392460588366,145,0.039877279638491,0.997146232844753,0.0370663706304829,1,1
"16",2.12748911837116,0.903676836518571,3.85499508935027,0.938890158897266,103,0.0364368710034151,0.898964981210691,0.0334177173741426,1,1
"17",1.92612242815085,0.0412545634899288,4.74022372509353,0.676613698713481,365,0.0129488609257892,0.228671864194404,0.00850800066754159,0,1
